City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Upernavik,72.7868,-56.1549,-10.77,95,100,4.38,GL,2022-02-14 18:27:59
Jamestown,42.097,-79.2353,18.01,47,100,14.97,US,2022-02-14 18:28:00
Avarua,-21.2078,-159.775,77.05,88,100,10.36,CK,2022-02-14 18:28:00
Rikitea,-23.1203,-134.9692,78.24,68,63,9.71,PF,2022-02-14 18:29:49
Erenhot,43.6475,111.9767,-6.25,84,97,6.35,CN,2022-02-14 18:29:50
College,64.8569,-147.8028,-4.77,77,99,4.63,US,2022-02-14 18:29:51
Bredasdorp,-34.5322,20.0403,70.29,73,50,21.85,ZA,2022-02-14 18:29:51
Hofn,64.2539,-15.2082,33.82,69,75,17.27,IS,2022-02-14 18:29:52
Bengkulu,-3.8004,102.2655,75.99,87,81,3.71,ID,2022-02-14 18:29:16
Hami,42.8,93.45,27.93,43,20,3.44,CN,2022-02-14 18:29:53
Sitka,57.0531,-135.33,39.09,87,100,3.44,US,2022-02-14 18:29:54
Maniitsoq,65.4167,-52.9,0.84,86,100,5.7,GL,2022-02-14 18:29:55
Albany,42.6001,-73.9662,18.55,36,35,4.0,US,2022-02-14 18:24:58
Alexandria,31.2156,29.9553,57.7,71,10,11.21,EG,2022-02-14 18:29:20
Oktyabrskiy,54.4815,53.471,16.57,94,100,7.18,RU,2022-02-14 18:29:56
Lasa,46.6166,10.7002,36.34,94,76,2.59,IT,2022-02-14 18:29:57
Mar Del Plata,-38.0023,-57.5575,77.02,84,0,10.0,AR,2022-02-14 18:29:11
Hermanus,-34.4187,19.2345,70.81,75,0,16.6,ZA,2022-02-14 18:29:58
Hilo,19.7297,-155.09,66.25,88,100,5.75,US,2022-02-14 18:29:55
Hambantota,6.1241,81.1185,75.54,94,20,9.22,LK,2022-02-14 18:29:59
Butaritari,3.0707,172.7902,81.77,75,72,15.64,KI,2022-02-14 18:30:00
Cidreira,-30.1811,-50.2056,80.49,40,0,10.85,BR,2022-02-14 18:30:01
Tuatapere,-46.1333,167.6833,48.81,81,100,3.33,NZ,2022-02-14 18:30:02
Saint Anthony,45.0205,-93.218,17.26,65,0,5.75,US,2022-02-14 18:30:03
Mataura,-46.1927,168.8643,48.47,90,100,2.08,NZ,2022-02-14 18:30:04
Lagoa,39.05,-27.9833,59.36,75,92,11.14,PT,2022-02-14 18:30:06
Ginir,7.1333,40.7,63.36,27,100,4.14,ET,2022-02-14 18:30:07
Kapaa,22.0752,-159.319,73.18,91,20,4.61,US,2022-02-14 18:30:08
Ushuaia,-54.8,-68.3,53.22,40,75,20.71,AR,2022-02-14 18:28:24
Arraial Do Cabo,-22.9661,-42.0278,87.76,66,20,19.57,BR,2022-02-14 18:30:10
Altus,34.6381,-99.334,64.51,22,0,4.61,US,2022-02-14 18:30:10
Scarborough,54.2797,-0.4044,45.09,88,99,4.0,GB,2022-02-14 18:28:26
Vanavara,60.34,102.2797,-25.83,100,37,3.49,RU,2022-02-14 18:30:12
Bluff,-46.6,168.3333,48.79,88,100,10.69,NZ,2022-02-14 18:30:12
Shubarshi,48.5872,57.1869,0.3,100,77,3.33,KZ,2022-02-14 18:30:13
Dikson,73.5069,80.5464,-3.24,90,100,18.97,RU,2022-02-14 18:30:14
Arlit,18.7369,7.3853,76.12,8,0,6.44,NE,2022-02-14 18:30:15
Batagay-Alyta,67.8006,130.4114,-18.9,75,0,4.9,RU,2022-02-14 18:30:15
Den Helder,52.9599,4.7593,48.02,84,100,28.99,NL,2022-02-14 18:30:16
Antigonish,45.6169,-61.9986,22.14,91,100,4.0,CA,2022-02-14 18:29:18
Smolenka,52.1352,113.4974,-25.06,75,89,0.0,RU,2022-02-14 18:30:18
Ayan,56.45,138.1667,-10.19,80,12,7.11,RU,2022-02-14 18:30:19
Krasnyy Luch,48.1395,38.9371,28.11,78,3,1.81,UA,2022-02-14 18:30:20
Mount Gambier,-37.8333,140.7667,51.71,93,0,9.22,AU,2022-02-14 18:30:21
Torbay,47.6666,-52.7314,25.75,93,100,24.0,CA,2022-02-14 18:31:21
Veraval,20.9,70.3667,68.16,71,0,10.74,IN,2022-02-14 18:31:23
Puerto Del Rosario,28.5004,-13.8627,65.95,68,40,12.66,ES,2022-02-14 18:31:24
Shakawe,-18.3667,21.85,72.73,70,24,4.97,BW,2022-02-14 18:31:24
Belmonte,-15.8631,-38.8828,84.7,70,7,11.68,BR,2022-02-14 18:31:25
Luderitz,-26.6481,15.1594,70.47,77,1,6.71,NA,2022-02-14 18:31:26
Coihaique,-45.5752,-72.0662,69.75,35,75,10.36,CL,2022-02-14 18:27:02
Basoko,1.2391,23.616,79.07,54,57,2.04,CD,2022-02-14 18:31:28
Khatanga,71.9667,102.5,-29.49,100,22,3.04,RU,2022-02-14 18:31:28
Les Escoumins,48.1111,-69.0236,0.75,81,100,6.15,CA,2022-02-14 18:31:29
Barrow,71.2906,-156.7887,-27.38,68,100,9.22,US,2022-02-14 18:31:30
Verkhnyaya Inta,65.9811,60.3094,-5.13,96,11,5.19,RU,2022-02-14 18:31:30
Loei,17.4167,101.5,65.44,86,26,2.64,TH,2022-02-14 18:31:31
Chuy,-33.6971,-53.4616,81.14,40,0,11.39,UY,2022-02-14 18:31:31
Castro,-24.7911,-50.0119,77.41,68,11,6.87,BR,2022-02-14 18:31:32
Ponta Do Sol,32.6667,-17.1,64.71,81,95,4.18,PT,2022-02-14 18:31:33
Nikolskoye,59.7035,30.7861,36.88,89,100,10.27,RU,2022-02-14 18:31:33
Brownwood,31.7093,-98.9912,69.8,20,0,8.05,US,2022-02-14 18:31:34
Busselton,-33.65,115.3333,67.05,74,0,13.62,AU,2022-02-14 18:31:35
Sao Joao Da Barra,-21.6403,-41.0511,86.09,86,13,14.41,BR,2022-02-14 18:31:35
