City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mataura,-46.1927,168.8643,43.48,99,31,2.51,NZ,2022-02-13 16:27:18
Nikolskoye,59.7035,30.7861,34.88,85,100,12.46,RU,2022-02-13 16:27:19
Ancud,-41.8697,-73.8203,82.22,72,1,6.76,CL,2022-02-13 16:27:20
Saint-Philippe,-21.3585,55.7679,80.19,86,53,8.75,RE,2022-02-13 16:27:21
Kapaa,22.0752,-159.319,70.12,85,0,12.66,US,2022-02-13 16:27:21
Atuona,-9.8,-139.0333,77.38,78,33,12.62,PF,2022-02-13 16:27:22
Punta Arenas,-53.15,-70.9167,50.11,57,20,57.53,CL,2022-02-13 16:27:23
Avarua,-21.2078,-159.775,73.45,100,20,2.3,CK,2022-02-13 16:27:24
Port Elizabeth,-33.918,25.5701,71.89,78,100,9.22,ZA,2022-02-13 16:27:25
Butaritari,3.0707,172.7902,82.53,70,95,11.61,KI,2022-02-13 16:27:25
Muros,42.7762,-9.0603,55.09,84,81,19.13,ES,2022-02-13 16:27:26
Mwinilunga,-11.7358,24.4293,69.28,82,96,3.56,ZM,2022-02-13 16:27:27
Albany,42.6001,-73.9662,26.55,64,100,1.01,US,2022-02-13 16:27:28
Ushuaia,-54.8,-68.3,47.86,71,75,47.18,AR,2022-02-13 16:27:29
Wanning,18.8003,110.3967,70.03,90,66,12.21,CN,2022-02-13 16:27:30
Taltal,-25.4,-70.4833,72.7,65,0,8.9,CL,2022-02-13 16:27:31
Port-Gentil,-0.7193,8.7815,78.76,89,75,2.3,GA,2022-02-13 16:27:31
Atar,20.5169,-13.0499,82.54,11,58,10.04,MR,2022-02-13 16:27:32
Rikitea,-23.1203,-134.9692,78.55,70,8,10.89,PF,2022-02-13 16:27:33
Narsaq,60.9167,-46.05,26.82,93,100,11.95,GL,2022-02-13 16:27:34
Vaini,-21.2,-175.2,78.96,89,20,4.61,TO,2022-02-13 16:27:34
Tasiilaq,65.6145,-37.6368,12.36,72,100,5.14,GL,2022-02-13 16:27:35
Yulara,-25.2406,130.9889,75.04,27,0,5.75,AU,2022-02-13 16:27:36
Saint-Augustin,51.226,-58.6502,3.38,73,10,16.28,CA,2022-02-13 16:27:37
Georgetown,5.4112,100.3354,82.33,91,40,6.91,MY,2022-02-13 16:24:31
Collie,-33.3667,116.15,62.98,56,9,8.86,AU,2022-02-13 16:27:38
Hobart,-42.8794,147.3294,64.26,78,72,5.75,AU,2022-02-13 16:23:06
Cabo San Lucas,22.8909,-109.9124,77.61,44,100,3.44,MX,2022-02-13 16:25:29
Neiafu,-18.65,-173.9833,79.48,89,20,5.75,TO,2022-02-13 16:27:39
Russell,32.3502,-85.1999,47.35,42,0,13.8,US,2022-02-13 16:22:53
Takoradi,4.8845,-1.7554,84.61,69,60,14.05,GH,2022-02-13 16:27:40
Puerto Ayora,-0.7393,-90.3518,82.36,86,99,5.01,EC,2022-02-13 16:27:41
Kruisfontein,-34.0033,24.7314,74.23,60,36,12.24,ZA,2022-02-13 16:27:42
Bredasdorp,-34.5322,20.0403,74.28,68,7,12.66,ZA,2022-02-13 16:27:42
Fortuna,40.5982,-124.1573,45.52,87,0,4.61,US,2022-02-13 16:27:43
